学校代码,成长环境_均分,学生发展_均分,学生人数
25,79.51,79.31,661
46,82.83,78.75,99
29,80.37,78.6,324
51,80.83,78.49,102
16,78.16,77.9,169
52,77.76,77.72,48
19,77.9,76.35,438
24,76.54,75.78,232
50,69.4,75.67,74
45,77.64,74.77,171
32,74.95,74.7,337
39,75.21,74.32,287
47,73.64,73.83,344
17,75.6,72.77,130
13,70.32,72.7,237
22,70.2,72.5,350
26,72.86,71.18,278
37,68.89,71.09,433
36,73.32,70.73,291
28,71.04,70.69,440
31,73.23,70.43,389
20,69.02,70.32,333
12,63.07,70.27,113
27,71.92,70.24,347
33,71.98,70.23,309
18,71.41,70.21,272
21,69.91,70.09,280
30,74.77,69.17,129
38,69.9,69.02,361
23,70.24,68.71,281
34,71.8,68.53,305
35,70.61,68.12,258
15,73.82,68.08,183
11,61.57,67.94,206
14,66.8,65.86,113
