学校代码,成长环境_均分,学生发展_均分,学生人数
25,74.9,77.35,564
24,74.66,76.68,228
14,72.92,76.59,123
18,74.8,76.35,286
16,73.35,76.27,171
19,71.2,75.94,464
46,74.35,75.51,102
45,75.82,74.27,174
13,69.57,73.09,242
39,72.91,72.44,330
29,71.68,71.44,351
21,70.93,71.32,304
26,69.95,71.22,198
47,64.47,71.12,317
27,70.76,71.11,422
12,61.73,70.89,84
28,68.44,70.81,318
38,68.16,70.28,373
15,72.14,70.01,302
17,71.29,69.81,139
23,65.13,69.72,282
32,66.34,69.66,268
33,65.21,69.52,315
22,64.39,69.42,365
30,72.86,69.38,173
37,62.89,68.48,402
11,60.38,68.43,223
31,69.37,67.48,385
34,65.86,67.37,322
36,66.89,67.22,205
35,65.42,67.04,200
20,60.9,65.02,413
